,PMIDs
0,7970999
1,10191892
2,7577405
3,7040932
4,3539030
5,9313673
6,9272319
7,6368874
8,15605283
9,10742350
10,9258137
11,7039520
12,6390895
13,9854601
14,10569604
15,11181193
16,11696811
17,8996345
18,2224950
19,2224950
20,2005708
21,2646131
22,3307643
23,11696814
24,11696804
25,9801119
26,568870
27,6351590
28,10828674
29,9588639
30,9158268
31,15001941
32,366538
33,16094064
34,7609170
35,8652952
36,11528199
37,3518138
38,15118425
39,10654330
40,2249126
41,3513716
42,6351590
43,7048679
44,16126049
45,17229242
46,6407644
47,7195004
48,18925641
49,11451173
50,12072331
51,12763375
52,7993958
53,3110848
54,14310348
55,2615928
56,9787370
57,1454315
58,2562546
59,1559386
60,7940136
61,1490088
62,2685707
63,9230823
64,11148810
65,12049574
66,2023749
67,3067745
68,12644943
69,2664628
70,15745761
71,16386089
72,3042470
73,9713782
74,8846250
75,7940137
76,1446756
77,11466256
78,3050678
79,9892887
80,11469160
81,10473306
82,8973231
83,486361
84,10088980
85,462201
86,9328501
87,8829399
88,12765500
89,3045281
90,2065405
91,3544892
92,9425369
93,3329780
94,10929148
95,10717757
96,7866044
97,10717757
98,11681222
99,1812599
100,11044276
101,3293827
102,2190705
103,11584755
104,10929148
105,3048759
106,8698011
107,3330414
108,6398531
109,8673817
110,6141423
111,10717757
112,8311568
113,1496699
114,11253274
115,1616392
116,11672461
117,11502317
118,10717757
119,10717757
120,8187656
121,9230826
122,17572517
123,9024371
124,3425252
125,7916004
126,2427836
127,2439803
128,3771472
129,2562825
130,2878680
131,4587515
132,7032947
133,35296
134,7308331
135,6863097
136,6126285
137,6149939
138,1982059
139,26371
140,3169216
141,4401715
142,6127219
143,6751838
144,4042527
145,1233216
146,2427835
147,2427837
148,2464094
149,2200257
150,6851273
151,6329801
152,786353
153,20680272
154,16831654
155,17938924
156,11788633
157,11273847
158,11216493
159,18788990
160,7465140
161,6363696
162,6374539
163,2563695
164,3996091
165,4688806
166,6373481
167,360120
168,7041652
169,6386593
170,11245321
171,3929609
172,3885107
173,6361251
174,3046651
175,1906042
176,4032389
177,7015540
178,2126657
179,7085368
180,351488
181,164642
182,1673937
183,4997830
184,1303479
185,6336898
186,7086761
187,7270617
188,6828277
189,2406439
190,6337491
191,4580966
192,6353923
193,3486596
194,15512174
195,10968046
196,15806236
197,6760969
198,2694741
199,7222872
200,2880755
201,7807484
202,4016830
203,6380723
204,8051377
205,7043345
206,7001295
207,10802077
208,2147500
209,3748494
210,2738328
211,11236113
212,6344283
213,7315901
214,7447362
215,9246960
216,4550682
217,333603
218,7100224
219,2315771
220,6344970
221,3046399
222,7045356
223,7962385
224,7558391
225,2065789
226,7589657
227,9688391
228,2642812
229,7868667
230,8299789
231,9895397
232,18155755
233,15196861
234,17493669
235,18606439
236,12691318
237,9345358
238,16764623
239,10211919
240,15298657
241,8732310
242,2491940
243,11236072
244,9286186
245,8894198
246,12823077
247,14628989
248,7702445
249,8364350
250,2143637
251,2192564
252,8031229
253,1581369
254,18496246
255,16342083
256,16084806
257,18829151
258,18181695
259,19298993
260,20687955
261,18656217
262,22096081
263,20586966
264,20877631
265,19939445
266,20923956
267,21997488
268,20683336
269,20163349
270,16545747
271,347221
272,10437184
273,18209514
274,2520420
275,12390610
276,17868354
277,16674760
278,8182401
279,15606569
280,15870415
281,3982837
282,3898645
283,17115982
284,18624803
285,15023828
286,17949458
287,15666380
288,17697262
289,16555338
290,15832550
291,16271570
292,240651
293,13307264
294,5481574
295,5481574
296,13528862
297,4917285
298,13693853
299,352976
300,5481574
301,843177
302,4586833
303,13532080
304,13665296
305,10721870
306,7030442
307,5661009
308,14498342
309,5936140
310,4886994
311,6127747
312,13588376
313,1681560
314,13357965
315,4583948
316,17894080
317,14279542
318,1101707
319,4862704
320,4943915
321,4589978
322,326215
323,14237612
324,5328697
325,13641969
326,19510
327,13755278
328,2502734
329,8959632
330,16930768
331,15023707
332,12145715
333,10348762
334,12872556
335,12063371
336,1361797
337,11375358
338,12173729
339,9589648
340,3282895
341,12149599
342,7734015
343,9540025
344,9540024
345,10372249
346,9428831
347,8082525
348,14693413
349,10528419
350,7555508
351,9135927
352,9283792
353,7979840
354,11919121
355,9653595
356,9625287
357,8697309
358,1954810
359,10937515
360,10369427
361,7733122
362,7556806
363,11268714
364,8458189
365,92877
366,20554319
367,6177441
368,14564258
369,11556409
370,21051772
371,12757574
372,14687346
373,17397426
374,21479913
375,12588572
376,15368824
377,20854564
378,18259094
379,20817936
380,17605699
381,12609940
382,20060665
383,7500174
384,19675115
385,17355644
386,19011727
387,21335296
388,19392952
389,20683707
390,18509559
391,16267192
392,10023893
393,15935015
394,19933747
395,20421240
396,21680622
397,9701104
398,12588571
399,11264206
400,19124530
401,15716246
402,21350242
403,18245764
404,18195202
405,19054193
406,2354297
407,15490272
408,15885294
409,12495822
410,15664003
411,18629569
412,19507291
413,16183652
414,15615747
415,14695863
416,10841179
417,8343668
418,15591487
419,11039967
420,15144369
421,16845754
422,7977921
423,21143436
424,10591231
425,10404919
426,12403738
427,10404930
428,20101013
429,18808597
430,9366737
431,12006310
432,18795987
433,14695864
434,20460620
435,16078954
436,21450224
437,11890582
438,12851185
439,14687345
440,16238765
441,15889312
442,21499018
443,21044715
444,11207837
445,21214623
446,20492040
447,12383144
448,17302651
449,14728632
450,18829689
451,10843351
452,11953541
453,20501583
454,20306017
455,8150304
456,17302652
457,11502787
458,15785256
459,18559634
460,17174387
461,12071273
462,15195985
463,16364936
464,8201149
465,7594152
466,17397425
467,20202271
468,20823124
469,21526229
470,21098340
471,9224433
472,17998225
473,16505262
474,17726361
475,1392755
476,20460331
477,8617895
478,10143898
479,20458090
480,18755784
481,8078528
482,20510973
483,16945613
484,17356003
485,15129393
486,19925613
487,17613583
488,16645293
489,12081122
490,19483372
491,18166695
492,20722845
493,16271907
494,20395080
495,20831723
496,20625015
497,15528779
498,20128337
499,15860827
500,18400123
501,11563205
502,9623035
503,9060344
504,11691528
505,21226674
506,1427246
